epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7687,1.56317,2.07025,1.69195,0.01267,0.66486,0.07009,0.02398,1.852,3.68623,2.23154,0.000195349,0.000195349,0.0806605
2,102.908,1.36586,1.16671,1.47433,0.96311,0.85405,0.94532,0.67062,1.06779,1.32343,1.29443,0.000391435,0.000391435,0.0608566
3,147.087,1.28716,1.01055,1.44846,0.98574,0.95676,0.97495,0.64253,1.17052,0.78044,1.34838,0.000583561,0.000583561,0.0410487
4,187.82,1.25813,0.92313,1.41365,0.95952,0.91351,0.94715,0.68515,1.02105,0.79456,1.22797,0.000771727,0.000771727,0.0212368
5,228.034,1.31133,0.92366,1.4535,0.93234,0.85946,0.94841,0.65561,1.07772,0.85469,1.20443,0.000955933,0.000955933,0.00142105
6,267.78,1.24897,0.90427,1.41524,0.95365,0.93514,0.96094,0.69254,1.02582,0.68715,1.20746,0.0009505,0.0009505,0.0009505
7,310.252,1.19607,0.83209,1.37038,0.96601,0.95676,0.97624,0.74563,0.8978,0.60203,1.10558,0.0009406,0.0009406,0.0009406
8,350.36,1.19246,0.8302,1.3751,0.96767,0.97062,0.97293,0.71084,0.99804,0.57208,1.16277,0.0009307,0.0009307,0.0009307
9,398.663,1.20666,0.80214,1.39022,0.93788,0.95135,0.95687,0.72948,0.93109,0.76034,1.13756,0.0009208,0.0009208,0.0009208
10,439.216,1.17388,0.78862,1.37262,0.98279,0.96757,0.98345,0.63831,1.24055,0.60626,1.30652,0.0009109,0.0009109,0.0009109
11,477.996,1.16039,0.76834,1.34608,0.96431,0.95135,0.97376,0.7406,0.95703,0.55048,1.14576,0.000901,0.000901,0.000901
12,516.801,1.12328,0.74767,1.33605,0.98201,0.96216,0.98184,0.73536,0.98291,0.50678,1.13732,0.0008911,0.0008911,0.0008911
13,555.887,1.10722,0.71493,1.32258,0.97058,0.95135,0.98157,0.77652,0.77566,0.52061,1.07051,0.0008812,0.0008812,0.0008812
14,595.809,1.12286,0.72161,1.34843,0.97084,0.94054,0.97011,0.72522,0.96944,0.54337,1.12656,0.0008713,0.0008713,0.0008713
15,634.62,1.15641,0.75538,1.34478,0.97562,0.96216,0.97966,0.75541,0.86424,0.48221,1.074,0.0008614,0.0008614,0.0008614
16,673.329,1.061,0.69287,1.28477,0.98864,0.94054,0.98409,0.76682,0.87482,0.46825,1.08498,0.0008515,0.0008515,0.0008515
17,712.897,1.10089,0.70445,1.31463,0.98301,0.96757,0.9849,0.73551,0.97714,0.47349,1.12428,0.0008416,0.0008416,0.0008416
18,752.092,1.07679,0.67141,1.28887,0.96801,0.9814,0.9918,0.75978,0.90975,0.4356,1.07957,0.0008317,0.0008317,0.0008317
19,791.764,1.05039,0.67085,1.26944,0.97793,0.95813,0.98869,0.75381,0.90263,0.48752,1.0935,0.0008218,0.0008218,0.0008218
20,830.332,1.10524,0.66822,1.31021,0.96749,0.97297,0.98693,0.78327,0.79482,0.44009,1.01623,0.0008119,0.0008119,0.0008119
21,869.995,1.11071,0.68582,1.32389,0.94827,0.96757,0.98008,0.73073,0.95704,0.47509,1.10961,0.000802,0.000802,0.000802
22,910.3,1.04875,0.66136,1.29129,0.97656,0.97838,0.98279,0.82778,0.7284,0.4256,1.00613,0.0007921,0.0007921,0.0007921
23,949.309,1.04785,0.63118,1.26119,0.96962,0.97838,0.99188,0.72526,1.02867,0.44312,1.15432,0.0007822,0.0007822,0.0007822
24,987.842,1.05427,0.62091,1.26623,0.97631,0.95676,0.97909,0.7718,0.8166,0.44128,1.05551,0.0007723,0.0007723,0.0007723
25,1028.37,1.06895,0.63313,1.27639,0.97846,0.98195,0.9894,0.77298,0.86746,0.41652,1.06362,0.0007624,0.0007624,0.0007624
26,1068,1.04285,0.59704,1.2844,0.97338,0.98829,0.9855,0.78822,0.80114,0.40995,1.04207,0.0007525,0.0007525,0.0007525
27,1107.5,1.0152,0.60348,1.25319,0.98301,0.98378,0.99298,0.77596,0.85787,0.38519,1.05351,0.0007426,0.0007426,0.0007426
28,1148.3,1.022,0.60609,1.23555,0.99364,0.96757,0.98499,0.76952,0.88859,0.4374,1.06153,0.0007327,0.0007327,0.0007327
29,1190.79,1.01583,0.59561,1.25323,0.9732,0.98378,0.98538,0.76744,0.89379,0.41964,1.06895,0.0007228,0.0007228,0.0007228
30,1231.98,1.01072,0.59904,1.24331,0.98299,0.96757,0.98568,0.78054,0.83041,0.40309,1.04425,0.0007129,0.0007129,0.0007129
31,1274.43,1.02643,0.60004,1.25157,0.97833,0.97624,0.98997,0.81586,0.75779,0.39441,1.02011,0.000703,0.000703,0.000703
32,1314.61,1.02188,0.59908,1.25709,0.98648,0.97297,0.9923,0.78144,0.86001,0.40216,1.03984,0.0006931,0.0006931,0.0006931
33,1355.93,1.002,0.59008,1.22707,0.98906,0.97757,0.99089,0.80587,0.7586,0.38948,1.00587,0.0006832,0.0006832,0.0006832
34,1397.32,0.98514,0.59096,1.2272,0.98349,0.98378,0.99103,0.79083,0.81086,0.39479,1.04413,0.0006733,0.0006733,0.0006733
35,1438.86,0.95361,0.5584,1.21823,0.98906,0.97743,0.99119,0.8079,0.80245,0.38696,1.02888,0.0006634,0.0006634,0.0006634
36,1480.74,0.97478,0.5625,1.21417,0.98695,0.98378,0.98986,0.76534,0.90483,0.41481,1.06626,0.0006535,0.0006535,0.0006535
37,1521.82,0.98513,0.56166,1.21677,0.98792,0.97838,0.9916,0.78733,0.81262,0.37735,1.03102,0.0006436,0.0006436,0.0006436
38,1562.66,0.98147,0.55398,1.22625,0.98879,0.97838,0.98879,0.8232,0.76377,0.36454,1.00598,0.0006337,0.0006337,0.0006337
39,1605.9,0.95834,0.56031,1.21387,0.98911,0.98159,0.99243,0.83269,0.69648,0.34575,0.98938,0.0006238,0.0006238,0.0006238
40,1647.5,0.94048,0.55581,1.2024,0.9945,0.97662,0.99258,0.82262,0.71611,0.36475,0.99273,0.0006139,0.0006139,0.0006139
41,1689.22,0.97342,0.5752,1.20238,0.98525,0.97838,0.9934,0.81698,0.69579,0.36619,0.97584,0.000604,0.000604,0.000604
42,1730.78,0.93448,0.54594,1.18297,0.98372,0.97966,0.99348,0.81559,0.72419,0.36933,0.98224,0.0005941,0.0005941,0.0005941
43,1773.69,0.96401,0.54638,1.21538,0.97815,0.97838,0.98568,0.83726,0.6471,0.3556,0.95361,0.0005842,0.0005842,0.0005842
44,1816.47,0.95097,0.54499,1.19404,0.9945,0.97709,0.9873,0.82536,0.72722,0.36795,1.0022,0.0005743,0.0005743,0.0005743
